[2026-02-11 01:38:04.978895] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:05.006128] Device: esp8266_env_01, Detections: 2
[2026-02-11 01:38:05.019720] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:05.019767] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:05.020432] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:12.325152] Device: esp32_sec_01, Detections: 2
[2026-02-11 01:38:14.992375] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:15.023769] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:15.025362] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:15.027188] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:15.032369] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:25.072263] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:25.073324] Device: esp8266_env_01, Detections: 0
[2026-02-11 01:38:25.073728] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:25.074048] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:25.078742] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:35.081603] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:35.090770] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:35.093095] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:35.107907] Device: esp8266_env_01, Detections: 1
[2026-02-11 01:38:35.108139] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:45.095639] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:45.116631] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:45.138136] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:45.138336] Device: esp32_sec_01, Detections: 0
[2026-02-11 01:38:45.139172] Device: esp32_sec_01, Detections: 0
